<body>
<pre>民視新聞台-公司網路,mms://dtv.iptv.tw-airnet.net/S-195
泰國MVTV第8台,mms://61.19.248.196/mvtv_8?WMContentBitrate=256000

泰國MVTV第2台,mms://61.19.248.196/mvtv_2?WMContentBitrate=256000

泰國MVTV Hit台,mms://61.19.248.196/mvtv_3?WMContentBitrate=256000

泰國NBT頻道,mms://mms.prd.go.th/nbttv

南韓KTV電視台,mms://onair.ktv.go.kr/ktv

河北衛視,mms://mms.hebtv.com/tv1
埃及SA7兒童台,mms://energy10.egihosting.com/859238
土耳其TRT4兒童台,mms://212.156.63.102/TV4
土耳其YTV兒童台,mms://canli1.stv.com.tr/yumurcak
智利ARICA電視台,mms://wms.digitalproserver.com/aricatv
南韓C3宗教台,mms://211.63.212.50/live
西班牙INTER財經台,mms://www.intereconomia.com/INTERECONOMIA-TV
美國CBN新聞台,mms://cbn-news.wm.llnwd.net/cbn_news
澳洲瑜珈教育頻道,mms://streaming.swamiji.tv/YogaIP-TV
德國醫療健康台,mms://213.155.73.73/Medizin-tv_Standard_15
葡萄牙Minho頻道,mms://espalhabrasas.sapo.pt/minhoactualtv
葡萄牙RTP頻道,mms://195.245.168.21/rtp/?WMContentBitrate=300000
印度和平宗教台,mms://wms3.visionip.tv/PeaceTV_Medium
保加利亞自然環境頻道,mms://212.25.37.148/EcoBulgariaTV
斯洛法尼亞PLAY音樂台,mms://93.103.4.16/playtv
韓國hanvit頻道,mms://218.37.19.236/live
泰國TV5頻道,mms://58.147.79.136/5
泰國ASTV電視台,mms://broadcast.manager.co.th/11news1?wmcontentbitrate=550000
泰國購物台,mms://media.login.in.th/jewelrychannel
美國KCTU電視台,mms://radio.ivnet.tv/Live4

南非SABC電視台,mms://uberant.antfarm.co.za/sabcafrica-live

深圳兒童台,mms://211.148.197.132/sztv_6

深圳娛樂台,mms://211.148.197.132/sztv_4

深圳都市台,mms://211.148.197.132/sztv_1

深圳電視劇台,mms://211.148.197.132/sztv_2

深圳公共台,mms://211.148.197.132/sztv_7

海南旅遊衛視,mms://218.77.178.156/LIVECAM0

淮南第一台,mms://202.102.208.42/live1

淮南第二台,mms://202.102.208.42/live2

河北都市頻道,mms://mms.hebtv.com/tv3
河北影視頻道,mms://mms.hebtv.com/tv4
河北少兒頻道,mms://mms.hebtv.com/tv5
河北農民頻道,mms://mms.hebtv.com/tv7
重慶衛視,mms://v1.cbg.cn/cqss
重慶都市頻道,mms://v1.cbg.cn/cqds
重慶國際頻道,mms://v1.cbg.cn/cqgj
重慶科教頻道,mms://v1.cbg.cn/cqkj
廈門第一電視台,mms://mediasrv2.iptv.xmg.com.cn/tvxinwen
廈門第二電視台,mms://mediasrv2.iptv.xmg.com.cn/tvjishi
廈門影視頻道,mms://mediasrv2.iptv.xmg.com.cn/tvyingshi
泰國Siam運動頻道,mms://58.147.79.136/siamsport
泰國DMC宗教台,mms://dmc.dimcjp.org/dmc-1

天津塘沽第二台,mms://60.30.52.215/tgtv2

威海綜合台,mms://live.weihai.tv/news

徐州新聞綜合台,mms://218.3.205.21/xwzhpd

徐州公共台,mms://218.3.205.21/shzfpd

徐州經濟生活台,mms://218.3.205.21/jjshpd

青島綜合台,mms://down.qingdaomedia.com/qtv

江西經濟台,mms://tv.jxgdw.com/jxtv3

江西影視台,mms://tv.jxgdw.com/jxtv4

江西衛視,mms://tv.jxgdw.com/jxtv1

江西都市台,mms://tv.jxgdw.com/jxtv2

江西公共台,mms://tv.jxgdw.com/jxtv5

江西教育台,mms://218.65.110.19/live

江西傳媒移動台,mms://movie.jxgdw.com/cmyd

南昌第二台,mms://live1.ncnews.com.cn/nctv2

南昌第三台,mms://live2.ncnews.com.cn/nctv3

海南第一台,mms://218.77.178.156/LIVECAM3

海南第三台,mms://218.77.178.156/LIVECAM2

湖州新聞台,mms://live.hugd.com/xwzh.wmv

湖州文化娛樂台,mms://live.hugd.com/whyl.wmv

湖州公共台,mms://live.hugd.com/ggms.wmv

舒州生活資訊頻道,mms://220.180.24.62/live1

長春新聞綜合台,mms://video.chinactv.com/ctv

長春娛樂台,mms://video.chinactv.com/ctv2

美國TUB娛樂台,mms://fmt01.egihosting.com/16931

美國tempe頻道,mms://media1.tempe.gov/tempe11high

美國KLRN新知台,mms://www.pasadena56.tv:8280/

美國KPAS頻道,mms://www.pasadena56.tv:8080/

美國夏威夷FOCUS頻道,mms://207.7.154.95/olelo_focus

捷克BTV頻道,mms://77.240.188.251/live

愛爾蘭RTE新聞台,mms://89.207.56.10/wmtencoder/news-225.wmv

巴西DTV電視台,mms://canaldtv.dnip.com.br/canaldtv

巴西CVC頻道,mms://streamrf.wtimedia.com.br/cvc

巴西PLUS頻道,mms://tv.dmaistv.com.br/demaistv

巴西JUST電視台,mms://208.109.239.158/Fazoko

巴西REDE福音台,mms://media2.igospel.com.br/tv_gospel

印度娛樂台,mms://122.160.111.233:8080/

棗莊電視台,mms://live.sdzztv.com/zztv

長春綜合台,mms://video.chinactv.com/ctv

黑龍江電視台,mms://72.166.136.132/hljtv-200

美國WHRP電視台,mms://205.237.202.169/tv33_pull

美國77頻道,mms://207.7.154.95/citymiamifl_encoder1?wmcache=0

美國PGTV頻道,mms://polkco.ecstreams.com/PolkLive

哥倫比亞RWC頻道,mms://67.210.227.162/rwc

哥倫比亞UNE頻道,mms://200.13.254.183/canalunemedellin

義大利AGR電視台,mms://94.82.112.254/agrtv

孟加拉DESH電視台,mms://120.50.4.190/desh

玻利維亞REDADVENIR頻道,mms://eleden.com/redadvenir

哥斯大黎加FCN電視台,mms://196.40.46.209/fcntv

埃及PARS電視台,mms://energy10.egihosting.com/775858

澳洲運動第一台,mms://wm9.streaming.telstra.com/ucs-wh_BigPondTV3live1

亞塞拜然LIDER電視台,mms://85.132.50.243/Lider_Online

西班牙TVC電視台,mms://i2catvserver.i2cat.net/tvc_inter

土耳其SHOW電視台,mms://84.16.253.173/TV-ShowTv?ashes=

斯里蘭卡國家新聞台,mms://222.165.133.211/live

墨西哥RTV電視台,mms://rtv.interrogacaodigital.net/rtvtelevision

俄羅斯1TV電視台,mms://live.1internet.tv/best-efir?wmbitrate=500000

美國SAFE電視台,mms://mcm-safe-tv-300-003.wm.llnwd.net/mcm_safe_tv_300_003

黎巴嫩Arabi新聞台,mms://89.202.214.2/e5e0e37b-86ec-4ec7-bacc-b7f93f3b5283

秘魯JN19宗教台,mms://ortega.streamingnow.net/jn19

法國RK頻道,mms://rkingtv.diffusepro.com/rkingtv

法國TELE 102頻道,mms://www.tele102.net/tele102

法國LCP電視台,mms://vipmms9.yacast.net/rcs_lcplive?WMThinning=0

法國TVSF時尚台,mms://stream.tvsf.fr/live

烏克蘭CITI電視台,mms://212.26.155.11:80
泰國SBT佛教台,mms://mail.luangta.com/live-sbt1?WMContentBitrate=256000
香港鳳凰衛視台,mms://218.106.96.24/fhws
日本購物台,mms://streamw1.hitpops.jp/shopch
</pre></body>
